keyword,campaign,impressions,clicks,leads,conversions
"marketing attribution software",seo-growth-2026,45000,2850,340,68
"b2b lead reconciliation",seo-growth-2026,28000,1920,210,45
"multi-touch attribution platform",google-ads-q3,62000,4100,520,112
"marketing data pipeline",seo-campaign-alpha,19500,1280,140,29
"b2b campaign analytics tool",google-ads-q3,34000,2100,260,54
"lead journey tracking",seo-growth-2026,22000,1450,175,36
"saas marketing dashboard",twitter-ai-launch,51000,3200,310,48
"conversion rate optimization b2b",linkedin-lead-gen-apac,18000,980,120,24
"enterprise attribution engine",enterprise-checkout-summer,12000,820,110,38
"deterministic lead scoring",seo-campaign-beta,14500,760,85,14
