"Keyword","Campaign","Impressions","Clicks","Leads","Conversions","CTR (%)","Conversion Rate (%)"
"multi-touch attribution platform","google-ads-q3",62000,4100,520,112,6.61,21.54
"marketing attribution software","seo-growth-2026",45000,2850,340,68,6.33,20
"b2b campaign analytics tool","google-ads-q3",34000,2100,260,54,6.18,20.77
"saas marketing dashboard","twitter-ai-launch",51000,3200,310,48,6.27,15.48
"b2b lead reconciliation","seo-growth-2026",28000,1920,210,45,6.86,21.43
"enterprise attribution engine","enterprise-checkout-summer",12000,820,110,38,6.83,34.55
"lead journey tracking","seo-growth-2026",22000,1450,175,36,6.59,20.57
"marketing data pipeline","seo-campaign-alpha",19500,1280,140,29,6.56,20.71
"conversion rate optimization b2b","linkedin-lead-gen-apac",18000,980,120,24,5.44,20
"deterministic lead scoring","seo-campaign-beta",14500,760,85,14,5.24,16.47
